"","Coefficient","StandardError","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"HighU",-3.53766405907883,0.0189836432720624,0.863021589152333,-0.0108983153678239,0.610120966298869,0.174551767516399,0.0222086192885891,-1.49394316805965,-0.341448443493806,-0.172716067973945,-1.46404083820757,2.33046954531645,1.0848019866155,0.0153410975062579,0.281635277238844,0.0877721559473076,0.23642624351472,0.121169538237162,0.112081113467087,0.540048321907111,0.285261378540035,0.314506558168834,0.408052839016457,0.637722761556868
"LowJ",-2.94478141029495,0.0050704259242503,0.772078938845411,-0.0608724182213402,0.330146319209325,0.209921725175085,-0.0249535944891974,-0.68210772061098,-0.0549378029479731,0.0401057551838974,-0.570054020304949,1.01357679699225,1.17492879511111,0.0169958988941144,0.306768692943978,0.0952640340740782,0.25129026122223,0.132715000936874,0.120269649039178,0.588382104804915,0.307307655188513,0.347331499843436,0.46478331643818,0.68408782672338
"LowU",-4.61103261788154,0.0164801115595717,1.08511772435754,0.0913538041966494,0.534435877431832,0.122555406398207,-0.352229708066484,0.5210030033708,0.210497435177308,1.02775101059578,-1.41355051397219,-0.1326663164682,2.01019012370613,0.0281898514057794,0.565096512509452,0.153237227571345,0.462703095607546,0.218409646331891,0.205830485190031,0.760516405486079,0.528815244521528,0.690941953593167,0.868786305638563,1.09675159147681
